product_name,website,country,category,subcategory,title-href,price,brand,ingredients,form,type,color,size,rating,noofratings
"Carlton London Incense Eau da parfum, Premium Long Lasting & Refreshing Perfume for Men - 100",Flipkart,India,body,perfume,https://www.amazon.in/Carlton-London-Limited-Incense-Perfume/dp/B09N3DHTZ1/ref=sr_1_104?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661954&sprefix=perfumes%2Caps%2C356&sr=8-104,599,Carlton London,,aerosol,,"Top Note: Orange Blossom, Blackberry | Heart Note: Bitter Almond, Jasmine, Coffee | Base Note: Vanilla, Cedar, White Musk",100,3.9,19
CHARLENE SPRAY MIST PERFUME 30 - INTIMATE (PACK OF 1),Flipkart,India,body,perfume,https://www.amazon.in/CHARLENE-SPRAY-MIST-PERFUME-30/dp/B0BH8XSV8P/ref=sr_1_231?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661333&sprefix=perfumes%2Caps%2C356&sr=8-231,149,Charlene,,aerosol,,Unit count type:,30,4.4,"4,031"
CHARLENE SPRAY MIST PERFUME 30 - INTIMATE (PACK OF 2),Flipkart,India,body,perfume,https://www.amazon.in/CHARLENE-SPRAY-MIST-PERFUME-30/dp/B0BRVHDSNW/ref=sr_1_240?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661333&sprefix=perfumes%2Caps%2C356&sr=8-240,298,Charlene,,aerosol,,Unit count type:,30,4.4,"4,072"
DENVER Black Code Perfume - 60 | Eau de Parfum - For Men |Long Lasting Luxury Scent Fragrance,Flipkart,India,body,perfume,https://www.amazon.in/DENVER-Black-Code-Perfume-Fragrance/dp/B0BN5NMW3Z/ref=sr_1_137?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661743&sprefix=perfumes%2Caps%2C356&sr=8-137,245,Denver,,aerosol,,Long-Lasting Scent,60,4.2,61
Denver Hamilton Perfume - 100 | Long Lasting Perfume Body Scent for Men,Flipkart,India,body,perfume,https://www.amazon.in/Denver-Perfume-Hamilton-100/dp/B01IKM88MQ/ref=sr_1_132_mod_primary_new?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661743&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=perfumes%2Caps%2C356&sr=8-132,422,Denver,,aerosol,,Long-Lasting Scent,100,4.3,342
"Engage Fantasia Perfume for Women, Long Lasting, Floral & Spicy, for Night Occasions, Gift for Women, Free Tester with pack, 100",Flipkart,India,body,perfume,https://www.amazon.in/Engage-Fantasia-Perfume-Lasting-Occasions/dp/B0BCK5NDMJ/ref=sr_1_275?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661149&sprefix=perfumes%2Caps%2C356&sr=8-275,422,Engage,,aerosol,,"Engage Fantasia is a premium, long lasting perfume for women inspired by the dynamic characteristics of a woman",100,4.4,"13,101"
"Engage Verona Perfume for Women, Long Lasting, Citrus and Fruity, for Everyday Use, Gift for Women, Free Tester with pack, 100",Flipkart,India,body,perfume,https://www.amazon.in/Engage-Verona-Perfume-Lasting-Everyday/dp/B0BCK63V3T/ref=sr_1_191?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661526&sprefix=perfumes%2Caps%2C356&sr=8-191,422,Engage,,aerosol,,"Inspired by citrus grooves, Engage Verona is a premium, long lasting perfume for women which evokes joy and radiance",100,4.3,515
"Engage One Soul Gender-free Perfume, Unisex, Long Lasting, Citrus and Spicy, Free Tester with pack, 100",Flipkart,India,body,perfume,https://www.amazon.in/Engage-Gender-free-Perfume-Unisex-Lasting/dp/B0BCJYQ8MD/ref=sr_1_92?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661954&sprefix=perfumes%2Caps%2C356&sr=8-92,422,Engage,,aerosol,,Engage One Soul is a gender free and long lasting perfume which is a radically fresh composition of sparkling citrus & crisp aromatic spicy notes blended with smooth amber & woods,100,4.5,"9,665"
"Engage Indigo Skies Perfume for Men, Long Lasting, Fresh and Earthy, for Everyday Use, Gift for Men, Free Tester with pack, 100",Flipkart,India,body,perfume,https://www.amazon.in/Engage-Indigo-Perfume-Lasting-Everyday/dp/B0BCK3Y26J/ref=sr_1_57?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661954&sprefix=perfumes%2Caps%2C356&sr=8-57,422,Engage,,aerosol,,"Engage Indigo Skies is a premium, long lasting perfume for men which is a grand fusion of aromatic lavender & rich earthy woody notes with a sparkling diffusion of bergamot & spices that leaves a masuciline nostalgia",100,4.3,54
ENVY Men Perfume - 70 | Eau da parfum - For Men| Long Lasting Perfume Scent,Flipkart,India,body,perfume,https://www.amazon.in/ENVY-Men-Perfume-parfum-Lasting/dp/B0BLGLF1W7/ref=sr_1_206?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661333&sprefix=perfumes%2Caps%2C356&sr=8-206,236,Envy,,aerosol,,Long-Lasting Scent,70,4.2,842
