index,,name,sku,selling_price,original_price,currency,availability,color,category,source,,breadcrumbs,description,brand,images,country,language,average_rating,reviews_count,crawled_at
0,,Beach Shorts,FJ5089,40,,USD,InStock,Black,Clothing,adidas United States,,Women/Clothing,Splashing in the surf. Making memories with your friends. Beach days are the best days. These shorts are made of stretchy woven fabric. An elastic waistband that features the adidas logo brings a sporty look to your day at the beach.,adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/adce4c860bd841e0a853aafd00b362d7_9366/Beach_Shorts_Black_FJ5089_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/cad3233f6c2445e1a7fdaafd00b371ac_9366/Beach_Shorts_Black_FJ5089_22_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/66223c9a595e40ef9c7caafd00b3809b_9366/Beach_Shorts_Black_FJ5089_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/85706d099dfc4092a373aafd00b38e36_9366/Beach_Shorts_Black_FJ5089_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/139affb83f16488cb899aafd00b3e2b9_9366/Beach_Shorts_Black_FJ5089_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/c235a4db563143b18db4aafd00b3ef38_9366/Beach_Shorts_Black_FJ5089_02_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/3020a9362134409a9995aafd00b399d2_9366/Beach_Shorts_Black_FJ5089_25_outfit.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/9a04933e87f24464b7b8aafd00b3a9aa_9366/Beach_Shorts_Black_FJ5089_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/2e48f8751aa54d9f9719aafd00b3b971_9366/Beach_Shorts_Black_FJ5089_42_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/5afa70cd99ce4e00abd9aafd00b3c915_9366/Beach_Shorts_Black_FJ5089_43_detail.jpg",USA,en,4.5,35,50:17.3
1,,Five Ten Kestrel Lace Mountain Bike Shoes,BC0770,150,,USD,InStock,Grey,Shoes,adidas United States,,Women/Shoes,Lace up and get after it. The Five Ten Kestrel Lace Mountain Bike Shoes offer efficient pedal power with low-profile style. The wide platform is compatible with all clipless pedals and offers high-friction grip on and off the bike. You'll find the find comfort and versatility for extended trail rides and afterwork hot laps alike.,adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/2b04943c525e4909a7a5a9fa0116153d_9366/Five_Ten_Kestrel_Lace_Mountain_Bike_Shoes_Grey_BC0770_01_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/64ef0f437ce249fe980da9fa01164284_9366/Five_Ten_Kestrel_Lace_Mountain_Bike_Shoes_Grey_BC0770_02_standard_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/12746d2167c348b2a583a9fa01169669_9366/Five_Ten_Kestrel_Lace_Mountain_Bike_Shoes_Grey_BC0770_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/91b253099ece4b6c8b5fa9fa0116a5a1_9366/Five_Ten_Kestrel_Lace_Mountain_Bike_Shoes_Grey_BC0770_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a2b39ff910204553af50a9fa0116b3a0_9366/Five_Ten_Kestrel_Lace_Mountain_Bike_Shoes_Grey_BC0770_05_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/9294030e3be54f83854aa9fa01162719_9366/Five_Ten_Kestrel_Lace_Mountain_Bike_Shoes_Grey_BC0770_06_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/f2cc280368794b2c9a9ca9fa0116c094_9366/Five_Ten_Kestrel_Lace_Mountain_Bike_Shoes_Grey_BC0770_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/39426096737d4102b7ada9fa0116cceb_9366/Five_Ten_Kestrel_Lace_Mountain_Bike_Shoes_Grey_BC0770_42_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/9f384bc43cf84ce9845ca9fa0116d8b3_9366/Five_Ten_Kestrel_Lace_Mountain_Bike_Shoes_Grey_BC0770_43_detail.jpg",USA,en,4.8,4,50:17.4
2,,Mexico Away Jersey,GC7946,70,,USD,InStock,White,Clothing,adidas United States,,Kids/Clothing,"Clean and crisp, this adidas Mexico Away Jersey for juniors displays a design that began life in an artist's studio. Soft, quick-drying fabric keeps you comfortable. Standing out on the chest, a team badge lets fans show pride in their soccer team.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/4b12d5462aec410faee9ab1000feb34f_9366/Mexico_Away_Jersey_White_GC7946_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/be2b4748ccd04e88b0e7ab1000fec081_9366/Mexico_Away_Jersey_White_GC7946_02_laydown_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/e538f94d0fd742868052ab1000fecdbb_9366/Mexico_Away_Jersey_White_GC7946_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/7f1492f2985841dbb59cab1000fedc44_9366/Mexico_Away_Jersey_White_GC7946_42_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/d3485a6cd3fd42c19083ab1000fee858_9366/Mexico_Away_Jersey_White_GC7946_43_detail.jpg",USA,en,4.9,42,50:17.5
3,,Five Ten Hiangle Pro Competition Climbing Shoes,FV4744,160,,USD,InStock,Black,Shoes,adidas United States,,Five Ten/Shoes,"The Hiangle Pro takes on the classic shape of the original Hiangle with the addition of a seamless outsole wrapping around the toes, allowing for maximum rubber contact when tackling the most challenging boulder problems.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/a50bf634157248c99dbcac02007a8d9f_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_01_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/3c802934504e4b7fb3a3ac02007a9c73_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_02_standard_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/862a51ddd0df402e94e7ac02007aa392_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a7f417bf88b44b07a792ac02007aab1d_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/18556e5bfa6d4438b363ac02007ab2a4_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_05_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a78cc40417304c9ba71eac02007a9527_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_06_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/3bb67ff00e764e0ba5e8ac020080e925_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_09_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/cfbc398cd1fe4e6eb283ac02007aba39_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/2a09443d57c344719997ac02007ac15c_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_42_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/9f8beb8acfcb4d40a540ac02007ac719_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_43_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/2cef972779b941fa877eac8d011dca97_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_HM1.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/9bbdc255ddd74d7cbe45ac8d011dcc07_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_HM2.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/8d704616e0fa45a3ac06ac8d011dca28_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_HM3.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/c6221d2435b8455eaa7aac8d011dcc7a_9366/Five_Ten_Hiangle_Pro_Competition_Climbing_Shoes_Black_FV4744_HM4.jpg",USA,en,3.7,7,50:17.6
4,,Mesh Broken-Stripe Polo Shirt,GM0239,65,,USD,InStock,Blue,Clothing,adidas United States,,Men/Clothing,"Step up to the tee relaxed. This adidas golf polo shirt lets you focus on accurate drives and putts. Four-way stretch matches the body's natural movements. Breathable fabric keeps you comfortable spring, summer and fall. Recycled materials are one step towards reducing plastic waste.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/0ca38931b0cb4d14a3daac440068e9bd_9366/Mesh_Broken-Stripe_Polo_Shirt_Blue_GM0239_21_model.jpg~https://assets.adidas.com/videos/w_600,f_auto,q_auto/1bbe25dd08504d208e00ac67008260b1_d98c/Mesh_Broken-Stripe_Polo_Shirt_Blue_GM0239_video.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/88c92628bf8045dc8976ac4400689326_9366/Mesh_Broken-Stripe_Polo_Shirt_Blue_GM0239_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/c000838ecb3a481a8d53ac44006a5c86_9366/Mesh_Broken-Stripe_Polo_Shirt_Blue_GM0239_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/217f93c3862e45648316ac5d011fe2b8_9366/Mesh_Broken-Stripe_Polo_Shirt_Blue_GM0239_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/7978441ffc7d4852bc2fac44006cd80e_9366/Mesh_Broken-Stripe_Polo_Shirt_Blue_GM0239_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/1e31163790704db59eefac44006c056c_9366/Mesh_Broken-Stripe_Polo_Shirt_Blue_GM0239_42_detail.jpg",USA,en,4.7,11,50:17.7
5,,EQT Spikeless Golf Shoes,FX7449,110,,USD,InStock,Grey,Shoes,adidas United States,,Women/Shoes,"Put comfort first. These adidas spikeless golf shoes combine a Bounce midsole and a Boost heel for a lightweight, responsive feel that helps you convert bogie's to birdies. They repel water to keep your feet dry through wet fairways. The versatile rubber outsole ensures easy transitions from your final putt to cold drinks at the clubhouse. Recycled materials are one step towards reducing plastic waste.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/868765405ea54c68abc4ac5c011bc36e_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_01_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/8802ba989df94bee93c2ac5c011c07da_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_02_standard_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/c18122833ea347b7aa9cac5c011d8dce_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_03_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/7222417c2aec4b43939bac5c01230cbf_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_04_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a5f4360eb1174a7caf77ac5c011dab19_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_05_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/0ee4ef2f134d46beaefcac5c011c4bca_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_06_standard.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/c81b0dcc39024b09bb51ac5c01212b69_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/42c9abcf08844f079eadac5c0124420e_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_42_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/4db8caf7fbe846f38d8ead1200ed952c_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_HM1.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/0e6c5319221947a9b446ad1200ed92c6_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_HM2.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/f3fa4c6e71b04d59af46ad1200ed9826_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_HM3.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/f49e6ede5a1248f1b189ad1200ed941b_9366/EQT_Spikeless_Golf_Shoes_Grey_FX7449_HM4.jpg",USA,en,4.9,30,50:17.8
6,,Adicross Hybrid Shorts,GM5505,80,,USD,InStock,Black,Clothing,adidas United States,,Men/Clothing,"On the golf course, comfort is an essential component of keeping your concentration locked in on each shot. Stay focused as the temperature heats up with these ultra-lightweight adidas shorts. Move naturally through your round from the first tee to the 18th green. Then head for the clubhouse feeling ready for whatever comes next.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/680d1a3589b54d1da173ac32014b9a37_9366/Adicross_Hybrid_Shorts_Black_GM5505_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/8a951cea4d324d648f42ac32014b0cd0_9366/Adicross_Hybrid_Shorts_Black_GM5505_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/7a3a8be910434d1a9ea0ac320151acfc_9366/Adicross_Hybrid_Shorts_Black_GM5505_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/42f190513c264f7793c1ac2800a75d4f_9366/Adicross_Hybrid_Shorts_Black_GM5505_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/37b6760a80a04ea99118ac32015339e6_9366/Adicross_Hybrid_Shorts_Black_GM5505_25_outfit.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/5e1190c0b3a34f3a9d15ac32014c4a91_9366/Adicross_Hybrid_Shorts_Black_GM5505_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/4c3fbb1cde784883a856ac32014cdc3e_9366/Adicross_Hybrid_Shorts_Black_GM5505_42_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/51cd7c3c62154677a96fad3d0106142d_9366/Adicross_Hybrid_Shorts_Black_GM5505_HM1.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/4c62c330d94644aaa144ad3d01061458_9366/Adicross_Hybrid_Shorts_Black_GM5505_HM2.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/9779f7b8650b42edbe62ad3d0106129a_9366/Adicross_Hybrid_Shorts_Black_GM5505_HM3.jpg",USA,en,4.5,17,50:17.9
7,,Tiro 21 Windbreaker,GP4975,60,,USD,InStock,Black,Clothing,adidas United States,,Kids/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the winds pick up, this juniors' adidas Tiro 21 Windbreaker has you covered. Moisture-absorbing AEROREADY and a mesh lining keep you dry. The streamlined silhouette ensures nothing gets in the way of your ball skills on the touchline.

This product is made with recycled content as part of our ambition to end plastic waste.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/304055d5fec84445b597ac4500f9c26b_9366/Tiro_21_Windbreaker_Black_GP4975_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/958486c0f4dc4d35968fac4500f9cde9_9366/Tiro_21_Windbreaker_Black_GP4975_02_laydown_hover.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/c1703f01d98847d19348ac4500f9d8e7_9366/Tiro_21_Windbreaker_Black_GP4975_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/13c662856c3e422ca2daac4500fa09a6_9366/Tiro_21_Windbreaker_Black_GP4975_42_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a92321113ca8409fa818ac4500fa1573_9366/Tiro_21_Windbreaker_Black_GP4975_43_detail.jpg",USA,en,4.5,16,50:17.9
8,,Classic 3-Stripes Swimsuit,FS3923,40,,USD,InStock,Black,Clothing,adidas United States,,Women/Clothing,"You can show your concern for the health of the oceans while you increase your fitness in the pool. This adidas swimsuit is designed for comfort and support. Soft and fully lined, it's made with yarn spun from recycled materials. Iconic 3-Stripes tape on the sides gives it a sporty and classic look.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/f8b3261ac689442f8ecfabd601157e2e_9366/Classic_3-Stripes_Swimsuit_Black_FS3923_21_model.jpg~https://assets.adidas.com/videos/w_600,f_auto,q_auto/bb3ec78ad2da44458de2abd600e402e3_d98c/Classic_3-Stripes_Swimsuit_Black_FS3923_video.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/abac76fbd2f648008f0aabd601158b8c_9366/Classic_3-Stripes_Swimsuit_Black_FS3923_22_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/19f5d6aaa3f445549545abd6011598df_9366/Classic_3-Stripes_Swimsuit_Black_FS3923_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/7713d9e3a53c4f269927abd60115a607_9366/Classic_3-Stripes_Swimsuit_Black_FS3923_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/1364a4e0bf984c5fac5babbb0138ecad_9366/Classic_3-Stripes_Swimsuit_Black_FS3923_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a795d4a07b2542e6a1ababbb0138f765_9366/Classic_3-Stripes_Swimsuit_Black_FS3923_02_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/9560b8e4ecb246a2b27fabd60115b5d8_9366/Classic_3-Stripes_Swimsuit_Black_FS3923_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/ce2f06888c984edc958cabd60115c750_9366/Classic_3-Stripes_Swimsuit_Black_FS3923_42_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/59fdce4cb6a24a28a4fcabd60115d73e_9366/Classic_3-Stripes_Swimsuit_Black_FS3923_43_detail.jpg",USA,en,4.5,35,50:18.1
9,,Tiro 21 Windbreaker,GP4967,65,,USD,InStock,Black,Clothing,adidas United States,,Men/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the breeze picks up, this adidas Tiro 21 Windbreaker has you covered on the sidelines. Moisture-absorbing AEROREADY and a mesh lining help keep you dry while you're sheltering. The streamlined silhouette means you can stay mobile while you're waiting for the gusts to die down.",adidas,"https://assets.adidas.com/images/w_600,f_auto,q_auto/5aee09254c2446da9ed0ac560162c59e_9366/Tiro_21_Windbreaker_Black_GP4967_21_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/322a910a33f14f3684e2ac560162d2b9_9366/Tiro_21_Windbreaker_Black_GP4967_23_hover_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/37ffd15b692940cc9ebdac560162e1b1_9366/Tiro_21_Windbreaker_Black_GP4967_25_model.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/a0e207c7be8c4a34b51bac460117eb5e_9366/Tiro_21_Windbreaker_Black_GP4967_01_laydown.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/e6b2f31f92ca4d98a81aac5601631739_9366/Tiro_21_Windbreaker_Black_GP4967_41_detail.jpg~https://assets.adidas.com/images/w_600,f_auto,q_auto/46d523a753ff49d2b0bdac560163264c_9366/Tiro_21_Windbreaker_Black_GP4967_42_detail.jpg",USA,en,4.8,66,50:18.6
